item,serial_number,Model,appraisal_value,item_description,category,remarks
analyzing,9226662320,heuristic,44908,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,3,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida
Total,5435095654,Streamlined,29269,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,5,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
Front-line,8937080389,disintermediate,45411,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,2,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
Fully-configurable,1562058045,definition,1771,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,1,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
Virtual,3760583032,Configurable,33514,venenatis lacinia aenean sit amet justo morbi ut odio cras mi,1,erat quisque erat eros viverra eget congue eget semper rutrum nulla
alliance,7376342257,needs-based,17141,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,4,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
Future-proofed,1772271071,Public-key,24631,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,4,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
circuit,1272222950,Cloned,5410,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,1,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh
frame,4927238415,definition,3699,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,1,purus phasellus in felis donec semper sapien a libero nam dui
groupware,0565020447,interactive,9494,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,1,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer
cohesive,1423642864,extranet,5971,nullam porttitor lacus at turpis donec posuere metus vitae ipsum,4,eleifend donec ut dolor morbi vel lectus in quam fringilla
projection,9079512419,systematic,2754,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,4,sed magna at nunc commodo placerat praesent blandit nam nulla
Horizontal,2170463496,function,2739,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,5,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
dedicated,9268332116,24 hour,20736,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,4,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
support,9849290528,non-volatile,8297,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,3,ipsum integer a nibh in quis justo maecenas rhoncus aliquam
project,8370433839,optimizing,10330,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,3,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
eco-centric,0784540837,contextually-based,34060,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,4,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
hardware,3998127526,Re-engineered,23464,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,4,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui
implementation,8244823313,stable,45767,ut odio cras mi pede malesuada in imperdiet et commodo vulputate,4,leo odio porttitor id consequat in consequat ut nulla sed
client-driven,9831432320,artificial intelligence,41356,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,4,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
user-facing,9996221431,4th generation,17472,est lacinia nisi venenatis tristique fusce congue diam id ornare,3,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla
ability,2628540991,Quality-focused,38574,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,4,blandit mi in porttitor pede justo eu massa donec dapibus duis
secondary,1710345721,Proactive,42727,luctus rutrum nulla tellus in sagittis dui vel nisl duis,2,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in
human-resource,4575547689,stable,24465,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,5,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
complexity,9945322249,benchmark,47926,etiam pretium iaculis justo in hac habitasse platea dictumst etiam,3,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
eco-centric,0395786886,approach,49204,eget semper rutrum nulla nunc purus phasellus in felis donec,5,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
time-frame,9283601599,De-engineered,6088,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,5,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum
clear-thinking,0196183278,Programmable,30469,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,3,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
asymmetric,7554745697,Versatile,8494,donec dapibus duis at velit eu est congue elementum in hac habitasse platea,3,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
attitude,2285380887,Front-line,2839,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,4,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
Pre-emptive,9323969494,matrices,23917,non mi integer ac neque duis bibendum morbi non quam nec dui,3,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
Versatile,3259124527,open architecture,35700,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,1,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
methodical,4096674990,Graphic Interface,1906,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel,3,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
impactful,3496411937,Profound,27431,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,1,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
system engine,7761452164,Object-based,12773,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,3,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
optimal,7672652516,system-worthy,31661,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,5,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus
architecture,5514919420,core,7921,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,4,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam
modular,5600425503,internet solution,31835,nisl duis ac nibh fusce lacus purus aliquet at feugiat,4,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
Configurable,8708948755,Inverse,27477,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,1,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
tertiary,8864145117,core,15237,ultrices posuere cubilia curae nulla dapibus dolor vel est donec,1,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor
User-friendly,6413609036,neural-net,47709,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,1,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula
global,6824314005,access,31948,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,4,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum
Synergized,9164951472,motivating,20321,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,3,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
Seamless,3369218836,concept,45048,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,3,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt
Ergonomic,7764546100,zero tolerance,8568,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,5,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
human-resource,1965796745,incremental,5664,ante ipsum primis in faucibus orci luctus et ultrices posuere,3,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula
heuristic,1795654929,scalable,31447,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,5,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
matrices,7863091918,algorithm,14026,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,3,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
moratorium,1972294385,approach,24353,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,4,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
cohesive,4998365487,utilisation,41608,aliquam sit amet diam in magna bibendum imperdiet nullam orci,3,mauris sit amet eros suspendisse accumsan tortor quis turpis sed
3rd generation,8511184147,Diverse,5000,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,3,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
Distributed,2391441053,encoding,43095,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,1,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
Compatible,6861121746,Multi-channelled,49310,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,3,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
web-enabled,9540194733,service-desk,23665,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,3,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh
Right-sized,7492086393,moratorium,17431,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,1,curabitur gravida nisi at nibh in hac habitasse platea dictumst
open system,5169779631,knowledge base,42067,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,3,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia
infrastructure,2936295807,Future-proofed,11373,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,2,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
hardware,3557521982,Up-sized,33161,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,1,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
Exclusive,3837313530,Realigned,47462,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,1,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
neural-net,2805676440,systemic,13727,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,1,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus
focus group,9113651137,concept,46279,lobortis sapien sapien non mi integer ac neque duis bibendum,4,a libero nam dui proin leo odio porttitor id consequat in consequat
Progressive,8002625188,background,14777,nunc nisl duis bibendum felis sed interdum venenatis turpis enim,3,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus
asynchronous,5217587091,Synergized,21470,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,1,eget massa tempor convallis nulla neque libero convallis eget eleifend
Mandatory,7628212565,Networked,31538,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,4,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
bandwidth-monitored,5453691220,benchmark,4489,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,3,leo odio porttitor id consequat in consequat ut nulla sed
hierarchy,8696208862,model,20901,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,1,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
Future-proofed,8672399927,24/7,1182,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,2,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus
infrastructure,1440620482,asymmetric,46356,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,2,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
systematic,8985269836,analyzing,5938,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,4,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus
Universal,4797016337,core,6470,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,4,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo
5th generation,7524225849,Progressive,21275,eleifend quam a odio in hac habitasse platea dictumst maecenas,4,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
support,9166280931,Ergonomic,31520,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,4,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
focus group,0950290203,multi-state,19335,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,3,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam
Cross-platform,4797129980,secured line,1460,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,2,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
Phased,4004239761,implementation,34426,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,1,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
neural-net,8861639151,incremental,39692,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,4,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
dedicated,0528156802,impactful,42142,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,5,nulla tellus in sagittis dui vel nisl duis ac nibh
